,genes,cluster,p_val,avg_logFC,scores,p_val_adj
263,RPL23,7,0.07502890317844933,1.346675992012024,1.7802876234054565,0.9978845770662559
264,RPS5,7,0.0791570505600737,1.247757911682129,1.7555981874465942,0.9978845770662559
265,PABPC1,7,0.09369136729053357,1.1669350862503052,1.6762391328811646,0.9978845770662559
266,RPL31,7,0.09790894119559515,1.0280429124832153,1.6550767421722412,0.9978845770662559
267,UXT,7,0.11147697733495576,2.2667429447174072,1.5915894508361816,0.9978845770662559
268,RPS4X,7,0.11611093120115362,1.2571409940719604,1.5713088512420654,0.9978845770662559
269,FAU,7,0.11713806890772466,1.2439943552017212,1.5669000148773193,0.9978845770662559
270,MTRNR2L12,7,0.12110637622743602,2.286539077758789,1.550146460533142,0.9978845770662559
271,ANXA11,7,0.12323679483752382,2.1446261405944824,1.54132878780365,0.9978845770662559
272,AP002990.1,7,0.131374603587921,0.7685794830322266,1.508703351020813,0.9978845770662559
273,PIK3CD,7,0.13617526705765384,2.621426820755005,1.4901862144470215,0.9978845770662559
274,DDX17,7,0.14618154229995378,1.3453761339187622,1.453152060508728,0.9978845770662559
275,RPS2P46,7,0.1483971825858159,1.0830107927322388,1.445216178894043,0.9978845770662559
276,AC115223.1,7,0.16436296178418575,2.3532402515411377,1.3905465602874756,0.9978845770662559
